ID,Project,Cluster,Method,Human_Score,Human_Correctness,Notes
1,Alluxio-alluxio,1,individual,,,
2,Alluxio-alluxio,1,collective,,,
3,apache-ambari,1,individual,,,
4,apache-ambari,1,collective,,,
5,apache-ambari,2,individual,,,
6,apache-ambari,2,collective,,,
7,apache-hbase,1,individual,,,
8,apache-hbase,1,collective,,,
9,apache-hbase,7,individual,,,
10,apache-hbase,7,collective,,,
11,apache-hbase,10,individual,,,
12,apache-hbase,10,collective,,,
13,apache-hbase,13,individual,,,
14,apache-hbase,13,collective,,,
15,apache-hbase,14,individual,,,
16,apache-hbase,14,collective,,,
17,apache-hbase,19,individual,,,
18,apache-hbase,19,collective,,,
19,elasticjob-elastic-job-lite,1,individual,,,
20,elasticjob-elastic-job-lite,1,collective,,,
21,hector-client-hector,1,individual,,,
22,hector-client-hector,1,collective,,,
23,kevinsawicki-http-request,1,individual,,,
24,kevinsawicki-http-request,1,collective,,,
25,kevinsawicki-http-request,2,individual,,,
26,kevinsawicki-http-request,2,collective,,,
27,spring-projects-spring-boot,1,individual,,,
28,spring-projects-spring-boot,1,collective,,,
29,spring-projects-spring-boot,10,individual,,,
30,spring-projects-spring-boot,10,collective,,,
31,spring-projects-spring-boot,11,individual,,,
32,spring-projects-spring-boot,11,collective,,,
33,spring-projects-spring-boot,12,individual,,,
34,spring-projects-spring-boot,12,collective,,,
35,spring-projects-spring-boot,15,individual,,,
36,spring-projects-spring-boot,15,collective,,,
37,spring-projects-spring-boot,16,individual,,,
38,square-okhttp,1,individual,,,
39,square-okhttp,1,collective,,,
40,square-okhttp,6,individual,,,
41,square-okhttp,6,collective,,,
42,square-okhttp,20,individual,,,
43,square-okhttp,20,collective,,,
44,wildfly-wildfly,1,individual,,,
45,wildfly-wildfly,1,collective,,,
46,wildfly-wildfly,3,individual,,,
47,wildfly-wildfly,3,collective,,,
48,wro4j-wro4j,1,individual,,,
49,wro4j-wro4j,1,collective,,,
50,wro4j-wro4j,2,individual,,,
51,wro4j-wro4j,2,collective,,,
52,wro4j-wro4j,3,individual,,,
53,wro4j-wro4j,3,collective,,,
54,wro4j-wro4j,4,individual,,,
55,wro4j-wro4j,4,collective,,,
